"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","A","B","CCL5","CCR1",0.161869928989854,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"2","B","B","CCL5","CCR1",0.0612115253762332,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"3","C","B","CCL5","CCR1",0.0191238244880593,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"4","D","B","CCL5","CCR1",0.00905859551848355,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"5","A","D","SST","SSTR1",0.228002870416003,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"6","B","D","SST","SSTR1",0.287796471870593,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"7","C","D","SST","SSTR1",0.377638088642475,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"8","D","D","SST","SSTR1",0.389463539236907,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"9","A","C","GCG","GCGR",0.288796237048447,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
"10","B","C","GCG","GCGR",0.279396003017978,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
"11","C","C","GCG","GCGR",0.209759699467235,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
"12","D","C","GCG","GCGR",0.166537712378889,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
