"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"1","A","B","CCL5","CCR1",0.489236764477253,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"2","A","C","CCL5","CCR1",0.444441092966024,0,"CCL5_CCR1","CCL5 - CCR1","CCL","Secreted Signaling","KEGG: hsa04060"
"3","A","E","SST","SSTR1",0.394219868679225,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"4","B","E","SST","SSTR1",0.258503059992384,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"5","C","E","SST","SSTR1",0.593725641055199,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"6","D","E","SST","SSTR1",0.00435570549329191,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"7","E","E","SST","SSTR1",0.455649551134224,0,"SST_SSTR1","SST - SSTR1","SEMATOSTATIN","Secreted Signaling","KEGG: hsa04080"
"8","A","D","GCG","GCGR",0.407177730108699,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
"9","B","D","GCG","GCGR",0.592092682128912,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
"10","C","D","GCG","GCGR",0.271884866020097,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
"11","D","D","GCG","GCGR",0.444675679214014,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
"12","E","D","GCG","GCGR",0.0144227303722713,0,"GCG_GCGR","GCG - GCGR","GCG","Secreted Signaling","KEGG: hsa04080"
